Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
25/11/2020 19:06:21,25,Female,Hamburg,working student (QA),1,1,Student,Ruby,"Java / Scala, SQL","€ 12,000.00", € -   ,"€ 12,000.00", € -   ,12,working student,Temporary contract,English,1000+,Product,No
25/11/2020 19:10:04,32,Male,Berlin,Backend Developer,10,3,Lead,Ruby,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker","€ 80,000.00", € -   ,"€ 68,500.00", € -   ,28,Full-time employee,Unlimited contract,English,51-100,Product,No
25/11/2020 19:15:16,32,Male,Berlin,Software Engineer,9,3,Lead,Embedded,"Python, C/C++, Go","€ 73,000.00","€ 1,000.00","€ 65,000.00","€ 1,000.00",28,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 19:31:47,26,Male,Berlin,Architect ,9,4,Head,Go,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker","€ 120,000.00","€ 50,000.00","€ 95,000.00","€ 40,000.00",24,Full-time employee,Unlimited contract,English,1000+,Product,Yes
25/11/2020 19:33:52,25,Male,Berlin,Software Engineer,6,3,Senior,JavaScript / TypeScript,"AWS, Docker","€ 71,750.00","€ 6,000.00","€ 66,000.00","€ 5,500.00",30,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 19:38:20,27,Female,Berlin,Backend Developer,5,"2,5",Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes","€ 65,000.00", € -   ,"€ 52,000.00", € -   ,30,Full-time employee,Unlimited contract,English,51-100,Product,No
25/11/2020 19:44:29,28,Male,Frankfurt,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, AWS, Azure, Docker","€ 80,000.00", € -   ,"€ 76,000.00","€ 4,000.00",29,Full-time employee,Unlimited contract,English,11-50,Startup,No
25/11/2020 19:54:39,28,Male,Karlsruhe,Backend Developer,7,3,Senior,Java,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker","€ 66,000.00","€ 3,000.00","€ 66,000.00","€ 76,000.00",28,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 20:01:27,35,Male,Konstanz,Data Scientist,10,10,Middle,python,"Python, Azure, Kubernetes","€ 65,000.00", € -   ,"€ 65,000.00", € -   ,25,Full-time employee,Unlimited contract,English,51-100,Product,No
25/11/2020 20:13:33,38,Male,Berlin,Head of Engineering,20,9,Head,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker","€ 130,000.00","€ 20,000.00","€ 130,000.00","€ 20,000.00",30,Full-time employee,Unlimited contract,English,1000+,Corporation,Yes
25/11/2020 20:41:13,43,Male,Stuttgart,SAP Consultant,20,15,Senior,SAP / ABAP,"SQL, SAP / ABAP","€ 82,000.00","€ 12,000.00","€ 82,000.00","€ 10,000.00",32,Full-time employee,Unlimited contract,German,1000+,Product,No
25/11/2020 20:47:48,35,Male,Munich,DevOps,17,5,Lead,Kubrrnetes,"R, AWS, Google Cloud, Kubernetes, Docker","€ 72,000.00","€ 8,000.00","€ 72,500.00","€ 8,000.00",30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No
25/11/2020 21:19:54,37,Male,Berlin,Mobile Developer,17,1,Senior,Swift,Javascript / Typescript,"€ 77,000.00",€ 500.00,"€ 71,000.00", € -   ,28,Full-time employee,Unlimited contract,English,1000+,Product,No
25/11/2020 22:11:45,38,Male,Stuttgart ,Backend Developer,4,2,Middle,PHP,"Javascript / Typescript, SQL, Docker","€ 43,000.00", € -   ,"€ 43,000.00", € -   ,30,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No
25/11/2020 23:03:43,41,Male,Munich,Software Engineer,19,5,Senior,Java,"PHP, Java / Scala, SQL, AWS, Docker","€ 75,000.00", € -   ,"€ 73,000.00", € -   ,27,Full-time employee,Unlimited contract,English,101-1000,Product,No
25/11/2020 23:04:36,29,Male,Barcelona,Data Scientist,0,0,Junior,Python,"R, SQL","€ 22,000.00","€ 2,000.00","€ 11,000.00",€ 500.00,22,Full-time employee,Unlimited contract,English,51-100,Product,No
25/11/2020 23:08:40,26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,"Python, SQL","€ 65,000.00","€ 77,000.00","€ 46,000.00","€ 50,000.00",30,Full-time employee,Unlimited contract,German,up to 10,Startup,No
25/11/2020 23:42:47,35,Female,Munich,Backend Developer,4,4,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala","€ 51,000.00","€ 4,000.00","€ 47,000.00","€ 3,500.00",30,Full-time employee,Unlimited contract,German,101-1000,Insurance,No
